,pr_admissions_national,gdp_real_millions,employment_thousands,unemployment_rate,hours_worked_millions,hours_worked_millions,prime_rate,employment_rate,cpi_all_items
pr_admissions_national,1.0,0.6782530254718196,0.6736913461027788,-0.5527176554153121,0.698152801311034,0.698152801311034,0.5669428286336247,0.4642801084737084,0.616574251654121
gdp_real_millions,0.6782530254718196,1.0,0.9896233326669769,-0.4353901254003724,0.9293462660608044,0.9293462660608044,0.771768383110586,0.3030565560688605,0.9534108213428228
employment_thousands,0.6736913461027788,0.9896233326669769,1.0,-0.48432025814415064,0.9558299840176117,0.9558299840176117,0.7983323570704441,0.36693818270827044,0.9374951456251844
unemployment_rate,-0.5527176554153121,-0.4353901254003724,-0.48432025814415064,1.0,-0.6494223973342068,-0.6494223973342068,-0.4497343741632679,-0.9575446641605482,-0.21997848186100463
hours_worked_millions,0.698152801311034,0.9293462660608044,0.9558299840176117,-0.6494223973342068,1.0,1.0,0.7497057150185347,0.5798955562306012,0.8163554944879797
hours_worked_millions,0.698152801311034,0.9293462660608044,0.9558299840176117,-0.6494223973342068,1.0,1.0,0.7497057150185347,0.5798955562306012,0.8163554944879797
prime_rate,0.5669428286336247,0.771768383110586,0.7983323570704441,-0.4497343741632679,0.7497057150185347,0.7497057150185347,1.0,0.31561742560788486,0.78348354348026
employment_rate,0.4642801084737084,0.3030565560688605,0.36693818270827044,-0.9575446641605482,0.5798955562306012,0.5798955562306012,0.31561742560788486,1.0,0.06309547965797463
cpi_all_items,0.616574251654121,0.9534108213428228,0.9374951456251844,-0.21997848186100463,0.8163554944879797,0.8163554944879797,0.78348354348026,0.06309547965797463,1.0
