RQ,ECT coef,ECT p,ECT sig,SR Δ coef,SR p,SR sig,ECM R²
RQ3 Unemployment,-0.1305,0.0192,*,-0.0,0.1129,n.s.,0.134
RQ4 Hours Worked,-0.1134,0.0837,n.s.,3.0875,0.0279,*,0.118
