,pr_admissions_national,gdp_real_millions,employment_thousands,unemployment_rate,hours_worked_millions,gdp_per_worker,prime_rate,cpi_all_items,employment_rate
pr_admissions_national,1.0,0.6782530254718196,0.6736913461027788,-0.5527176554153121,0.698152801311034,0.5066364923028379,0.5669428286336247,0.616574251654121,0.4642801084737084
gdp_real_millions,0.6782530254718196,1.0,0.9896233326669769,-0.4353901254003724,0.9293462660608044,0.7703968546280361,0.771768383110586,0.9534108213428228,0.3030565560688605
employment_thousands,0.6736913461027788,0.9896233326669769,1.0,-0.48432025814415064,0.9558299840176117,0.6709418113146232,0.7983323570704441,0.9374951456251844,0.36693818270827044
unemployment_rate,-0.5527176554153121,-0.4353901254003724,-0.48432025814415064,1.0,-0.6494223973342068,-0.10013257830479592,-0.4497343741632679,-0.21997848186100463,-0.9575446641605482
hours_worked_millions,0.698152801311034,0.9293462660608044,0.9558299840176117,-0.6494223973342068,1.0,0.556153335825139,0.7497057150185347,0.8163554944879797,0.5798955562306012
gdp_per_worker,0.5066364923028379,0.7703968546280361,0.6709418113146232,-0.10013257830479592,0.556153335825139,1.0,0.4433472755955378,0.7572415687757507,-0.05967906927863878
prime_rate,0.5669428286336247,0.771768383110586,0.7983323570704441,-0.4497343741632679,0.7497057150185347,0.4433472755955378,1.0,0.78348354348026,0.31561742560788486
cpi_all_items,0.616574251654121,0.9534108213428228,0.9374951456251844,-0.21997848186100463,0.8163554944879797,0.7572415687757507,0.78348354348026,1.0,0.06309547965797468
employment_rate,0.4642801084737084,0.3030565560688605,0.36693818270827044,-0.9575446641605482,0.5798955562306012,-0.05967906927863878,0.31561742560788486,0.06309547965797468,1.0
