,pr_admissions_national,gdp_real_millions,employment_thousands,unemployment_rate,hours_worked_millions,hours_worked_millions,prime_rate,employment_rate,cpi_all_items
pr_admissions_national,1.0,0.6754664360418003,0.6834192092459008,-0.4641389827452641,0.7089045161111208,0.7089045161111208,0.502745272972536,0.30684602528839217,0.5999624309603419
gdp_real_millions,0.6754664360418003,1.0,0.9920285516391587,-0.4211262796421441,0.9683125231538249,0.9683125231538249,0.6974823554559347,0.13330856585657594,0.9530420226446908
employment_thousands,0.6834192092459008,0.9920285516391587,1.0,-0.46748457561529017,0.9793050191043943,0.9793050191043943,0.7318748526076346,0.18774497068181595,0.9306437187364888
unemployment_rate,-0.4641389827452641,-0.4211262796421441,-0.46748457561529017,1.0,-0.5078817511400587,-0.5078817511400587,-0.6340437472836755,-0.9140473187717219,-0.25895604137892475
hours_worked_millions,0.7089045161111208,0.9683125231538249,0.9793050191043943,-0.5078817511400587,1.0,1.0,0.7693546585159665,0.24843821588471712,0.8833427482717856
hours_worked_millions,0.7089045161111208,0.9683125231538249,0.9793050191043943,-0.5078817511400587,1.0,1.0,0.7693546585159665,0.24843821588471712,0.8833427482717856
prime_rate,0.502745272972536,0.6974823554559347,0.7318748526076346,-0.6340437472836755,0.7693546585159665,0.7693546585159665,1.0,0.4676063462176843,0.5882755551797874
employment_rate,0.30684602528839217,0.13330856585657594,0.18774497068181595,-0.9140473187717219,0.24843821588471712,0.24843821588471712,0.4676063462176843,1.0,-0.04537347552978643
cpi_all_items,0.5999624309603419,0.9530420226446908,0.9306437187364888,-0.25895604137892475,0.8833427482717856,0.8833427482717856,0.5882755551797874,-0.04537347552978643,1.0
